,Roles,Companies,Locations,Requirements
4362,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4363,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4364,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4365,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4366,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4367,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4368,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4369,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4370,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4371,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4372,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4373,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4374,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4375,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4376,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4377,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4378,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4379,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4380,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4381,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4382,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4383,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4384,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4385,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4386,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4387,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4388,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4389,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4390,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4391,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4392,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4393,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4394,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4395,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4396,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4397,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4398,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4399,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4400,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4401,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4402,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4403,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4404,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4405,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4406,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4407,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4408,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4409,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4410,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4411,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4412,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4413,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4414,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4415,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4416,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4417,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4418,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4419,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4420,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4421,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4422,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4423,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4424,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4425,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4426,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4427,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4428,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4429,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4430,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4431,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4432,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4433,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4434,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4435,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4436,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4437,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4438,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4439,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4440,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4441,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4442,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4443,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4444,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4445,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4446,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4447,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4448,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4449,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4450,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4451,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4452,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4453,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4454,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4455,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4456,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4457,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4458,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4459,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4460,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4461,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4462,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4463,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4464,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4465,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4466,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4467,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4468,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4469,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4470,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4471,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4472,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4473,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4474,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4475,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4476,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4477,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4478,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4479,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4480,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4481,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4482,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4483,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4484,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4485,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4486,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4487,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4488,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4489,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4490,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4491,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4492,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4493,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4494,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4495,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4496,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4497,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4498,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4499,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4500,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4501,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4502,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4503,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4504,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4505,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4506,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4507,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4508,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4509,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4510,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4511,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4512,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4513,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4514,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4515,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4516,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
